userName,score,at,content
Nuki Ws,4,2026-05-05 06:13:32,terlalu lambat
Rahmat Hidayat,5,2026-05-05 06:13:02,ok
Wajirun Wajir,1,2026-05-05 06:12:11,Ganggu banget notifnya. promo2 ga penting. dapet notif subsidi bisa berulang kali belum notif ga penting lainnya. berisssiiiiiik Giliran ada chat dari buyer ga nongol notifnya. kebanyakan ga guna lu
Evan Munte,5,2026-05-05 06:09:01,👍
Ali Mudin Ali Mudin,5,2026-05-05 06:08:49,aplikasi ini sangat bagus dan terpercaya
Jooy Teea,5,2026-05-05 06:08:04,mantap
Genio Zulvira,5,2026-05-05 06:05:36,"prodauk terbaik dengan harga terbaik,pengiriman selalu aman,top sukaaa shopeee...."
has bullah,5,2026-05-05 06:05:11,bagus sangat membantu sekali
Ch Szsky,2,2026-05-05 06:04:20,pengiriman kurang memuaskan banyak keterlambatan dan penundaan pengiriman
Jenisna Dona,5,2026-05-05 06:03:52,luar biasa bagus
Def Ril,5,2026-05-05 06:03:23,sangat membantu
eva marpaung,2,2026-05-05 06:01:39,"kenapa susah bgt dapat driver shopee food, ini driver nya pada gk niat kerja atau gimana ya? sampe 3x pesanan dicancel tolong ya di perbaiki tuh driver, ini lokasi saya tidak dipelosok, tapi cari driver saja susah bgt sampe 2 jam"
Nono Sutisna,1,2026-05-05 06:00:45,Terlalu banyak iklan Gara gara itu aku gak bisa main sama adek aku untuk bermain minecraft
Reslika Kano,4,2026-05-05 06:00:33,sering sering diskon lah
Lusi Yana,3,2026-05-05 05:58:31,"pengiriman lama sampe masa rmh di tigaraksa beli barang ditangerang kota dibawa dlu ke dc cakung trus balik lg keserang dibawa muter""tuh paket makanya nyampenya lama🙈"
Yuliana Soluta,1,2026-05-05 05:57:59,"daftar vip biar dapat voucher..dr shopee sendiri yg kasih VOC itu di produknya..dipakai co nempel tp ending nya d batalkan alasan aktifitas mencurigakan..anehhh tanya cs katanya "" akun Kaka sangat sehat"" bulan depan co lagi pake voucher masih sama d curigai lagi gilaa emangg"
A ummu Kalsum,5,2026-05-05 05:56:15,senang berbelanja
Vira Julia,5,2026-05-05 05:54:36,"I LOVE YOU SHOPEE, memudahkan belanja apapun buat saya si mager keluar rumah😂👍🔥"
